agatha-stress-tests/FULL ST NEW AGATHA-FAIL.txt	87935	2026-04-28 20:13
agatha-stress-tests/stress0test NEW AGATHA - FAIL.txt	189339	2026-04-28 20:13
canonical-tracker-snapshots/CLIENT ACCOUNTS TRACKER.md	2198	2026-04-28 20:13
canonical-tracker-snapshots/MARTIN-SITE CHANGE TRACKER.md	24417	2026-04-28 20:13
canonical-tracker-snapshots/MASTER TRACKER (recreated from MASTER PACK 4).csv	38018	2026-04-28 20:13
canonical-tracker-snapshots/MASTER TRACKER (recreated from MASTER PACK 4).md	102426	2026-04-28 20:13
canonical-tracker-snapshots/METHOD TRACKER.md	5186	2026-04-28 20:13
canonical-tracker-snapshots/PHAROS-AI CHANGE TRACKER.md	4130	2026-04-28 20:13
governance-public-market/Agentic_AI_Autonomous_Intelligence_for_Complex_GoalsA_Comprehensive_Survey.pdf	2948908	2026-04-28 20:13
governance-public-market/FR-QC-.txt	34991	2026-04-28 20:13
governance-public-market/Governance%20by%20Denial%20-%20revised%20working%20draft.docx_0.odt	78271	2026-04-28 20:13
governance-public-market/Spec-1-ai Governance Engine.pdf	113832	2026-04-28 20:13
governance-public-market/Turing AI Ethics and Governance.pdf	10825237	2026-04-28 20:13
governance-public-market/ai_governance_public_statement.txt	699	2026-04-28 20:13
governance-public-market/ai_governance_public_statementlong.txt	1620	2026-04-28 20:13
governance-public-market/if-gov-ai-2027-2028.md	41047	2026-04-28 20:13
governance-public-market/untitled_2.odt	25326	2026-04-28 20:22
hardware-system-reference/& $envUSERPROFILEDesktopcompact_wsl.txt	81104	2026-04-28 20:22
hardware-system-reference/Laptop A.txt	1025	2026-04-28 20:13
papers-and-manuscripts/2025%20-%20Martin%20Lepage%20-%20THE%20RETURNING%20LIGHT%20-%20book_or_monograph.docx_0.odt	222546	2026-04-28 20:13
papers-and-manuscripts/Ahmed, Sara. The Promise of Happine.txt	4577	2026-04-28 20:13
papers-and-manuscripts/Alchemy of the Wound.docx	148876	2026-04-28 20:13
papers-and-manuscripts/CORPUS ou le génie de l’insistance (1).md	541191	2026-04-28 20:13
papers-and-manuscripts/Complete Paper List — Martin Lepage.txt	38188	2026-04-28 20:13
papers-and-manuscripts/Hair.enw	285	2026-04-28 20:22
papers-and-manuscripts/Material CultureCharging Objects: Ritual, Artistic Practice, and the Crisis of Legitimacy	30762	2026-04-28 20:13
papers-and-manuscripts/The_Kybalion.pdf	1207149	2026-04-28 20:13
pharos-ops-publishing/Gemini a dit.txt	1567	2026-04-28 20:13
pharos-ops-publishing/LINKEDIN-SCHEDULE-NOW.md	8898	2026-04-28 20:13
pharos-ops-publishing/PHAROS_LinkedIn_Monthly_Routine_2026-04.md	27872	2026-04-28 20:13
pharos-ops-publishing/SKILL_AUDIT_2026-04-06.md	10719	2026-04-28 20:13
pharos-ops-publishing/linkedin-schedule.js	11245	2026-04-28 20:13
protocols/00_MASTER_EXPLAINER.txt	8549	2026-04-28 20:13
protocols/01_THESEUS_TEMPLATE.txt	13591	2026-04-28 20:13
protocols/02_THESEUS_ARCHIVE.txt	10462	2026-04-28 20:13
protocols/03_THESEUS_QUESTIONS.txt	14759	2026-04-28 20:13
protocols/04_AURYN_TEMPLATE.txt	13060	2026-04-28 20:13
protocols/05_AURYN_ARCHIVE.txt	10203	2026-04-28 20:13
protocols/06_AURYN_QUESTIONS.txt	14801	2026-04-28 20:13
protocols/07_HOPF_TEMPLATE.txt	15548	2026-04-28 20:13
protocols/08_HOPF_ARCHIVE.txt	11675	2026-04-28 20:13
protocols/09_HOPF_QUESTIONS.txt	16498	2026-04-28 20:13
protocols/ARGUS AUDIT TRACKER.md	1784	2026-04-28 20:13
protocols/provisional-arbitration-charter-v1.1.md	25999	2026-04-28 20:13
protocols/provisional-arbitration-charter.md	12529	2026-04-28 20:13
